activity_code,exercise_name,mets,source,source_url
02103,ピラティス：伝統的、マットを用いた,1.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02105,ピラティス：全般,2.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02107,パウンド（ドラムスティックを用いたエクササイズ）：ドラム動作をしながらピラティスとbody movementを組 み合わせる,8.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02108,ポールダンス、運動教室,4.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02110,運動教室の指導(例：エアロビクス、水中運動),6.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02112,ボールを用いた運動療法：バランスボールエクササイズ,2.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02114,ボールを用いた運動療法：バランスボールエクササイズ、高強度,9.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02115,上肢の運動：腕エルゴメータ(ハンドエルゴメータ)、全般、楽な労力,2.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02116,腕エルゴメータ：ハンドバイク、15ワット,2.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02117,腕エルゴメータ：ハンドバイク、25-30ワット,2.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02118,腕エルゴメータ：ハンドバイク、45ワット,3.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02119,上肢の運動：エアダインエルゴメータで腕のみを用いて毎分40回転、ほどほどの強度,4.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02120,アクアビクス：水中での健康体操、水中運動,5.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02135,ジェットバス：座位,1.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02140,映像を用いた運動：テレビのコンディショニングプログラム(例：ヨガ、ストレッチ)、楽な労力,2.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02143,映像を用いた運動：テレビのコンディショニングプログラム(例：カーディオ・レジスタンストレーニング（有酸 素運動と筋力トレーニングを取り入れたエクササイズ）)、ほどほどの労力,4.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02145,映像を用いた運動：テレビのコンディショニングプログラム(例：カーディオ・レジスタンストレーニング（有酸 素運動と筋力トレーニングを取り入れたエクササイズ）)、きつい労力,6.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02150,ヨガ：ハタ,2.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02153,ヨガ：ハタ、高強度,8.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02155,ヨガ：ホット,3.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02160,ヨガ：パワー,4.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02170,ヨガ：ナディショーダナ,2.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02175,ヨガ：全般,2.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02180,ヨガ：スリヤナマスカー,3.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02185,ヨガ：ヴィンヤサ,2.7,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02200,ニュージーランド原住民の身体活動(伝統舞踊、例：ハカ・ポウヒリ、ポイ、モテアテアなど)：全般、ほどほどの 労力,5.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
